Test Name,scix_normal_TTRL,scix_normal_TTSBI,scix_normal_TTRS,scix_normal_TTRR,bbb_normal_TTRL,bbb_normal_TTSBI,bbb_normal_TTRS,bbb_normal_TTRR,scix normal Number of Runs,bbb normal Number of Runs,scix_6x-cpu_TTRL,scix_6x-cpu_TTSBI,scix_6x-cpu_TTRS,scix_6x-cpu_TTRR,bbb_6x-cpu_TTRL,bbb_6x-cpu_TTSBI,bbb_6x-cpu_TTRS,bbb_6x-cpu_TTRR,scix 6x-cpu Number of Runs,bbb 6x-cpu Number of Runs
bibcode-search,4494.336065573771,3092.1222222222223,1117.8360655737704,463.3801652892562,5639.351515151515,4227.819767441861,1384.551515151515,979.9333333333333,122,165,10442.4,5901.75,3528.7,3889.6,9544.105263157895,6268.473684210527,2819.6315789473683,1319.421052631579,10,19
title-keyword,4699.104477611941,3406.057591623037,1356.4402985074628,556.7985074626865,5494.522012578616,3971.923529411765,1513.2767295597484,1066.4716981132076,134,159,12323.181818181818,6167.64705882353,5026.272727272727,5544.125,10287.473684210527,5950.263157894737,3896.0526315789475,2445.5789473684213,11,19
year-range,4999.261194029851,3523.505154639175,1604.3955223880596,575.3458646616541,5304.076433121019,4013.508875739645,1367.7770700636943,1142.8152866242037,134,157,12737.57142857143,5985.944444444444,5283.785714285715,4641.3,10363.21052631579,6090.368421052632,3810.5789473684213,2489.4210526315787,14,19
abstract-keyword,4710.260162601626,3094.1567567567567,1324.4308943089432,585.45,5754.380368098159,4166.087209302325,1492.8282208588957,1163.9754601226994,123,163,12506.5,5337.928571428572,5238.1,6564.5,10529.368421052632,6207.526315789473,3862.842105263158,2442.6315789473683,10,19
first-author,4496.9111111111115,3569.546391752577,1280.4814814814815,558.9626865671642,5362.090322580645,3770.277108433735,1520.516129032258,1019.6363636363636,135,155,12637.266666666666,6488.555555555556,5116.8,5392.384615384615,10090.052631578947,5841,3808.9473684210525,2389.315789473684,15,19
citations,4655.355555555556,3472.943298969072,1486.962962962963,650.1777777777778,5374.29375,3896.1242603550295,1486.9625,1060.188679245283,135,160,12947,6380.888888888889,5463.642857142857,5567.545454545455,10181.052631578947,5995.526315789473,3733.6315789473683,2621.4210526315787,14,19
full-text,4941.246153846154,3410.2063492063494,1582.8,600.1328125,5912.975155279503,4144.547058823529,1657.9565217391305,1118.13125,130,161,12026,5368.294117647059,5511.9,6281.5,10309.473684210527,6085.0526315789475,3758.1052631578946,2427.2631578947367,10,19
affiliation,4763.1171875,3317.851063829787,1361.5625,714.5555555555555,5609.4125,4108.488235294118,1509.5625,1176.70625,128,160,12428.1,5945.266666666666,5292,6461.8,10560.736842105263,6245,3865.9473684210525,2479.6315789473683,10,19
arxiv-id,4105.862903225807,2767.1195652173915,1030.5483870967741,482.4308943089431,6172.065868263473,4598.982857142857,1506.7245508982037,1038.0903614457832,124,167,10319.866666666667,5827.764705882353,3444.266666666667,3464.4666666666667,9397.631578947368,6205.315789473684,2709,1153.8947368421052,15,19
pub-type,4843.375,2872.912568306011,1674.7916666666667,1150.7203389830509,5917.726114649681,4311.459302325581,1574.6687898089172,1118.6433121019109,120,157,11931.5,5505.214285714285,5317.666666666667,5546.833333333333,10528,6059.473684210527,3973.842105263158,2407.4736842105262,12,19
not-search,4456.6612903225805,2650.5245901639346,1288.4516129032259,680.9032258064516,6433.601190476191,4649.329545454545,1707.8333333333333,1145.1916167664672,124,168,11478.35294117647,5812.315789473684,4606.823529411765,6957.625,10179.052631578947,6083.473684210527,3612.5263157894738,2345,17,19
and-search,4261.25,2581.467741935484,1172.508064516129,591.0162601626016,6303.885542168675,4655.851428571428,1548.9819277108434,1133.4578313253012,124,166,11573.588235294117,5993.105263157895,4519.058823529412,3885,10123.78947368421,6221.473684210527,3443.0526315789475,1694.7368421052631,17,19
or-search,4402.487804878048,2856.043010752688,1273.918699186992,602.1475409836065,6031.286585365854,4447.605714285714,1567.341463414634,1019.9141104294479,123,164,11610.9375,5823.277777777777,4753.25,6611.5,10165.842105263158,5946.736842105263,3764.6315789473683,2404.5789473684213,16,19
journal-search,4592.725806451613,2624.060773480663,1325.2096774193549,599.9274193548387,6497.245508982036,4646.271186440678,1729.1437125748503,1180.0240963855422,124,167,12268.823529411764,6527.736842105263,4646.882352941177,5736.625,10173.421052631578,6053.263157894737,3669.157894736842,2438.3684210526317,17,19
keyword-search,4441.214876033057,2906.912087912088,1363.280991735537,635.275,5743.230303030303,4270.373563218391,1570.1515151515152,1074.0121212121212,121,165,12222.25,5941.571428571428,5187.5,5649.727272727273,10468.78947368421,6090.1578947368425,3924.4210526315787,3654,12,19
multi-field,5041,2935.8098591549297,1252.3225806451612,207.16363636363636,6926.820895522388,5169.606896551724,1715.9179104477612,,93,134,,,,,,,,,0,0
title-citations,5121.540983606557,3103.594285714286,1251.3196721311476,552.0413223140496,6113.882716049383,4634.186440677966,1526.20987654321,1063.1728395061727,122,162,11822.9375,5741.894736842105,5004.125,5599.25,10840.555555555555,5855,4532.055555555556,2548.277777777778,16,18
affiliation-references,5789.38947368421,3333.8391608391607,1605.1263157894737,611.4947368421052,12957.60447761194,4947.78231292517,8070.328358208955,4139.692307692308,95,134,,,,,,,,,0,0
year-range-journal-citations,5725.191666666667,3066.3314285714287,1912.8083333333334,620.7391304347826,6422.674846625767,4729.388571428572,1662.2269938650306,1389.3251533742332,120,163,12119.25,5798.315789473684,5227.75,4976.125,10869.166666666666,5968,4450.166666666667,2424.722222222222,16,18
cited-by-author,5167.380165289256,3068.130681818182,1319.5619834710744,509.495867768595,6283.836363636364,4638.4915254237285,1645.2242424242424,1057.4727272727273,121,165,11367.1875,5564.631578947368,4782.25,5819,9692.833333333334,5671.263157894737,3576.1666666666665,2312.6111111111113,16,18
full-text-references,5045.69918699187,3069.3485714285716,1308.4065040650407,615.5327868852459,7988.842424242424,4482.284916201117,3433.7939393939396,2995.962962962963,123,165,12234.25,6114.789473684211,5057.125,5610.0625,18808.5,6199.666666666667,12134.611111111111,11904.055555555555,16,18
pub-type-citations-year,5560.26050420168,3065.6300578034684,1806.5966386554621,578.3652173913043,6710.535714285715,4661.23595505618,1977.6904761904761,1263.8588957055215,119,168,12260.9375,5930.1578947368425,5267.9375,4637.571428571428,10641.111111111111,6261.111111111111,3929.1666666666665,2539.3333333333335,16,18
keyword-cited-references,4923.975609756098,3009.7241379310344,1312.9268292682927,579.8861788617886,6811.201183431953,4759.659217877095,2007.3076923076924,1063.9583333333333,123,169,11975.5,5784.263157894737,5143.6875,5288.375,10943.833333333334,6213.111111111111,4282.5,3106.6111111111113,16,18
multi-field-nested-citations,5097.974358974359,3018.3546511627906,1402.7521367521367,436.54464285714283,6415.104651162791,4652.691011235955,1636.9883720930231,1269.797619047619,117,172,10500.4375,5751.684210526316,3677.5625,3595.5625,9252.058823529413,6092.666666666667,2699.3529411764707,1915.1764705882354,16,17
arxiv-citations,4895.566666666667,3028.2758620689656,1240.3,586.9416666666667,6534.302469135802,4828.107344632768,1644.2592592592594,1152.111801242236,120,162,11937.625,5828.789473684211,5058.375,5234.8125,10616.555555555555,6184.388888888889,3978.3333333333335,3672.705882352941,16,18
pub-date,4580.886178861789,2697.983333333333,1144.739837398374,279.23636363636365,6439.856287425149,4749.754285714285,1588.4670658682635,,123,167,10454.875,5700.894736842105,3722.875,,9330.315789473685,6107.1578947368425,2767,,16,19
author-citations-title-abstract,5168.305785123967,3140,1347.5371900826447,539.297520661157,6079.77245508982,4497.994382022472,1535.6766467065868,1182.4071856287426,121,167,11757.8125,5912.210526315789,4772.4375,4885.625,10019.470588235294,5703.882352941177,3864.0588235294117,1927.5,16,17
author-or-title-citations-journal,5995.823529411765,3286.8538011695905,1906.420168067227,701.4655172413793,5947.335294117647,4229.443820224719,1695.9117647058824,1323.8154761904761,119,170,11928.4375,5890.736842105263,4979.8125,4686.6875,10277.35294117647,5958.117647058823,3864.764705882353,2321.235294117647,16,17
