name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
scix.bibcode-search.normal.TTRL,general,5966,50,240,3506,9523,"11/6/2025, 9:16:30 AM","11/6/2025, 11:34:07 AM"
scix.bibcode-search.normal.TTSBI,general,2850,42,240,1400,4785,"11/6/2025, 9:16:30 AM","11/6/2025, 11:34:07 AM"
scix.bibcode-search.normal.TTRS,general,2112,32,240,967,3581,"11/6/2025, 9:16:32 AM","11/6/2025, 11:34:11 AM"
scix.bibcode-search.normal.TTRR,general,1313,18,240,852,2574,"11/6/2025, 9:16:34 AM","11/6/2025, 11:34:13 AM"
scix.abstract-keyword.normal.TTRL,general,7089,56,240,4042,13886,"11/6/2025, 9:16:30 AM","11/6/2025, 11:34:05 AM"
scix.abstract-keyword.normal.TTSBI,general,2962,46,240,1405,8861,"11/6/2025, 9:16:30 AM","11/6/2025, 11:34:05 AM"
scix.abstract-keyword.normal.TTRS,general,3131,35,240,1532,4869,"11/6/2025, 9:16:32 AM","11/6/2025, 11:34:09 AM"
scix.abstract-keyword.normal.TTRR,general,1501,23,240,911,3210,"11/6/2025, 9:16:34 AM","11/6/2025, 11:34:12 AM"
scix.year-range.normal.TTRL,general,6931,62,240,4120,12326,"11/6/2025, 9:16:30 AM","11/6/2025, 11:33:45 AM"
scix.year-range.normal.TTSBI,general,2913,45,240,1410,6520,"11/6/2025, 9:16:30 AM","11/6/2025, 11:33:45 AM"
scix.year-range.normal.TTRS,general,2984,42,240,1588,5131,"11/6/2025, 9:16:32 AM","11/6/2025, 11:33:49 AM"
scix.year-range.normal.TTRR,general,1333,20,240,839,2664,"11/6/2025, 9:16:34 AM","11/6/2025, 11:33:52 AM"
scix.first-author.normal.TTRL,general,7139,57,240,4237,12230,"11/6/2025, 9:16:30 AM","11/6/2025, 11:33:30 AM"
scix.first-author.normal.TTSBI,general,3013,42,240,1453,6998,"11/6/2025, 9:16:30 AM","11/6/2025, 11:33:30 AM"
scix.first-author.normal.TTRS,general,3085,38,240,1677,4790,"11/6/2025, 9:16:32 AM","11/6/2025, 11:33:34 AM"
scix.first-author.normal.TTRR,general,1536,29,240,843,2921,"11/6/2025, 9:16:34 AM","11/6/2025, 11:33:37 AM"
scix.and-search.normal.TTRL,general,6754,54,240,3844,12592,"11/6/2025, 9:16:30 AM","11/6/2025, 11:34:28 AM"
scix.and-search.normal.TTSBI,general,2884,44,240,1100,6995,"11/6/2025, 9:16:30 AM","11/6/2025, 11:34:28 AM"
scix.and-search.normal.TTRS,general,2843,34,240,1460,4376,"11/6/2025, 9:16:32 AM","11/6/2025, 11:34:32 AM"
scix.and-search.normal.TTRR,general,1304,18,240,866,2618,"11/6/2025, 9:16:34 AM","11/6/2025, 11:34:34 AM"
scix.title-keyword.normal.TTRL,general,6875,59,240,4288,15356,"11/6/2025, 9:16:30 AM","11/6/2025, 11:33:49 AM"
scix.title-keyword.normal.TTSBI,general,2879,42,240,1265,7881,"11/6/2025, 9:16:30 AM","11/6/2025, 11:33:49 AM"
scix.title-keyword.normal.TTRS,general,2999,37,240,1664,6074,"11/6/2025, 9:16:32 AM","11/6/2025, 11:33:53 AM"
scix.title-keyword.normal.TTRR,general,1542,30,240,904,3136,"11/6/2025, 9:16:34 AM","11/6/2025, 11:33:56 AM"
scix.citations.normal.TTRL,general,7231,53,240,3765,9661,"11/6/2025, 9:16:30 AM","11/6/2025, 11:34:26 AM"
scix.citations.normal.TTSBI,general,2915,39,240,918,4448,"11/6/2025, 9:16:30 AM","11/6/2025, 11:34:26 AM"
scix.citations.normal.TTRS,general,3322,40,240,1568,5001,"11/6/2025, 9:16:32 AM","11/6/2025, 11:34:30 AM"
scix.citations.normal.TTRR,general,1536,29,240,830,2856,"11/6/2025, 9:16:35 AM","11/6/2025, 11:34:33 AM"
scix.full-text.normal.TTRL,general,7054,58,238,3934,12881,"11/6/2025, 9:16:30 AM","11/6/2025, 11:33:23 AM"
scix.full-text.normal.TTSBI,general,2912,45,238,965,7273,"11/6/2025, 9:16:30 AM","11/6/2025, 11:33:23 AM"
scix.full-text.normal.TTRS,general,3095,37,238,1493,5084,"11/6/2025, 9:16:33 AM","11/6/2025, 11:33:27 AM"
scix.full-text.normal.TTRR,general,1491,25,238,881,2630,"11/6/2025, 9:16:35 AM","11/6/2025, 11:33:31 AM"
scix.bibcode-search.6x-cpu.TTRL,general,35322,403,210,8825,46100,"11/6/2025, 9:16:30 AM","11/6/2025, 11:31:28 AM"
scix.bibcode-search.6x-cpu.TTSBI,general,16958,300,210,3877,25340,"11/6/2025, 9:16:30 AM","11/6/2025, 11:31:28 AM"
scix.bibcode-search.6x-cpu.TTRS,general,14411,156,210,3450,19025,"11/6/2025, 9:16:42 AM","11/6/2025, 11:31:44 AM"
scix.bibcode-search.6x-cpu.TTRR,general,6681,188,210,1346,11963,"11/6/2025, 9:16:46 AM","11/6/2025, 11:32:01 AM"
scix.year-range.6x-cpu.TTRL,general,26457,7679,4,9450,43580,"11/6/2025, 9:16:30 AM","11/6/2025, 9:23:31 AM"
scix.year-range.6x-cpu.TTSBI,general,12437,3671,4,3295,21105,"11/6/2025, 9:16:30 AM","11/6/2025, 9:23:31 AM"
scix.year-range.6x-cpu.TTRS,general,11689,3699,4,4732,19427,"11/6/2025, 9:16:42 AM","11/6/2025, 9:23:49 AM"
scix.year-range.6x-cpu.TTRR,general,3221,1024,4,1503,5571,"11/6/2025, 9:16:48 AM","11/6/2025, 9:24:05 AM"
scix.full-text.6x-cpu.TTRL,general,20500,4676,4,9420,32023,"11/6/2025, 9:16:30 AM","11/6/2025, 9:21:17 AM"
scix.full-text.6x-cpu.TTSBI,general,8966,2032,4,3310,12519,"11/6/2025, 9:16:30 AM","11/6/2025, 9:21:17 AM"
scix.full-text.6x-cpu.TTRS,general,9656,2745,4,4720,16858,"11/6/2025, 9:16:42 AM","11/6/2025, 9:21:28 AM"
scix.full-text.6x-cpu.TTRR,general,5141,2175,4,1662,10702,"11/6/2025, 9:16:48 AM","11/6/2025, 9:21:39 AM"
scix.and-search.6x-cpu.TTRL,general,21613,5082,4,9252,32974,"11/6/2025, 9:16:30 AM","11/6/2025, 9:20:47 AM"
scix.and-search.6x-cpu.TTSBI,general,10789,2995,4,3245,17870,"11/6/2025, 9:16:30 AM","11/6/2025, 9:20:47 AM"
scix.and-search.6x-cpu.TTRS,general,8690,2059,4,4563,12907,"11/6/2025, 9:16:42 AM","11/6/2025, 9:21:00 AM"
scix.and-search.6x-cpu.TTRR,general,3303,832,4,1397,5453,"11/6/2025, 9:16:48 AM","11/6/2025, 9:21:13 AM"
scix.first-author.6x-cpu.TTRL,general,14204,4232,2,9972,18435,"11/6/2025, 9:16:30 AM","11/6/2025, 9:16:50 AM"
scix.first-author.6x-cpu.TTSBI,general,7575,4109,2,3466,11683,"11/6/2025, 9:16:30 AM","11/6/2025, 9:16:50 AM"
