name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
scix.year-range.normal.TTRL,general,7546,69,208,4707,11228,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:36 PM"
scix.year-range.normal.TTSBI,general,3457,53,208,1953,6760,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:36 PM"
scix.year-range.normal.TTRS,general,3148,48,208,953,5357,"11/6/2025, 12:18:58 PM","11/6/2025, 2:18:40 PM"
scix.year-range.normal.TTRR,general,1200,12,208,819,1800,"11/6/2025, 12:19:02 PM","11/6/2025, 2:18:42 PM"
scix.first-author.normal.TTRL,general,7612,62,208,5844,9909,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:26 PM"
scix.first-author.normal.TTSBI,general,3426,49,208,2083,5585,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:26 PM"
scix.first-author.normal.TTRS,general,3240,43,208,1922,5084,"11/6/2025, 12:18:58 PM","11/6/2025, 2:18:30 PM"
scix.first-author.normal.TTRR,general,1433,18,208,969,2292,"11/6/2025, 12:19:03 PM","11/6/2025, 2:18:33 PM"
scix.and-search.normal.TTRL,general,7376,63,208,5499,10489,"11/6/2025, 12:18:54 PM","11/6/2025, 2:19:21 PM"
scix.and-search.normal.TTSBI,general,3334,49,208,2089,6243,"11/6/2025, 12:18:54 PM","11/6/2025, 2:19:21 PM"
scix.and-search.normal.TTRS,general,3114,43,208,1560,4957,"11/6/2025, 12:18:59 PM","11/6/2025, 2:19:25 PM"
scix.and-search.normal.TTRR,general,1304,16,208,873,2397,"11/6/2025, 12:19:03 PM","11/6/2025, 2:19:27 PM"
scix.bibcode-search.normal.TTRL,general,6432,55,208,4638,8818,"11/6/2025, 12:18:54 PM","11/6/2025, 2:19:04 PM"
scix.bibcode-search.normal.TTSBI,general,3268,49,208,1983,5169,"11/6/2025, 12:18:54 PM","11/6/2025, 2:19:04 PM"
scix.bibcode-search.normal.TTRS,general,2238,36,208,1166,3730,"11/6/2025, 12:18:59 PM","11/6/2025, 2:19:08 PM"
scix.bibcode-search.normal.TTRR,general,1313,16,208,831,1991,"11/6/2025, 12:19:03 PM","11/6/2025, 2:19:10 PM"
scix.citations.normal.TTRL,general,7759,59,208,5375,10253,"11/6/2025, 12:18:54 PM","11/6/2025, 2:19:08 PM"
scix.citations.normal.TTSBI,general,3331,43,208,1937,4973,"11/6/2025, 12:18:54 PM","11/6/2025, 2:19:08 PM"
scix.citations.normal.TTRS,general,3490,44,208,1991,5594,"11/6/2025, 12:18:58 PM","11/6/2025, 2:19:11 PM"
scix.citations.normal.TTRR,general,1501,19,208,1059,3557,"11/6/2025, 12:19:04 PM","11/6/2025, 2:19:14 PM"
scix.full-text.normal.TTRL,general,7670,64,206,5012,10761,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:23 PM"
scix.full-text.normal.TTSBI,general,3418,51,206,1947,5413,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:23 PM"
scix.full-text.normal.TTRS,general,3312,45,206,1554,5161,"11/6/2025, 12:18:59 PM","11/6/2025, 2:18:27 PM"
scix.full-text.normal.TTRR,general,1369,18,206,873,2838,"11/6/2025, 12:19:04 PM","11/6/2025, 2:18:29 PM"
scix.title-keyword.normal.TTRL,general,7504,58,208,5461,10132,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:45 PM"
scix.title-keyword.normal.TTSBI,general,3365,47,208,1930,5566,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:45 PM"
scix.title-keyword.normal.TTRS,general,3209,41,208,1929,4537,"11/6/2025, 12:18:59 PM","11/6/2025, 2:18:49 PM"
scix.title-keyword.normal.TTRR,general,1489,20,208,996,2812,"11/6/2025, 12:19:03 PM","11/6/2025, 2:18:52 PM"
scix.abstract-keyword.normal.TTRL,general,7621,54,208,5813,9828,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:46 PM"
scix.abstract-keyword.normal.TTSBI,general,3367,44,208,1999,5518,"11/6/2025, 12:18:54 PM","11/6/2025, 2:18:46 PM"
scix.abstract-keyword.normal.TTRS,general,3338,42,208,1898,5119,"11/6/2025, 12:18:58 PM","11/6/2025, 2:18:50 PM"
scix.abstract-keyword.normal.TTRR,general,1480,19,208,925,3377,"11/6/2025, 12:19:03 PM","11/6/2025, 2:18:53 PM"
scix.bibcode-search.6x-cpu.TTRL,general,35939,424,192,24077,47600,"11/6/2025, 12:19:18 PM","11/6/2025, 2:18:39 PM"
scix.bibcode-search.6x-cpu.TTSBI,general,17277,342,192,7454,26637,"11/6/2025, 12:19:18 PM","11/6/2025, 2:18:39 PM"
scix.bibcode-search.6x-cpu.TTRS,general,14956,162,192,9155,21130,"11/6/2025, 12:19:49 PM","11/6/2025, 2:18:55 PM"
scix.bibcode-search.6x-cpu.TTRR,general,5744,110,192,2795,9275,"11/6/2025, 12:20:06 PM","11/6/2025, 2:19:08 PM"
scix.and-search.6x-cpu.TTRL,general,38126,1821,6,33114,43431,"11/6/2025, 12:20:24 PM","11/6/2025, 1:30:56 PM"
scix.and-search.6x-cpu.TTSBI,general,16175,1703,6,12224,22519,"11/6/2025, 12:20:24 PM","11/6/2025, 1:30:56 PM"
scix.and-search.6x-cpu.TTRS,general,18597,596,6,17051,20425,"11/6/2025, 12:20:44 PM","11/6/2025, 1:31:13 PM"
scix.and-search.6x-cpu.TTRR,general,5514,537,6,3891,7398,"11/6/2025, 12:21:04 PM","11/6/2025, 1:31:32 PM"
