name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
scix.throttled.landing.pre-load.arxiv-id,general,13525,494,13,7930,15029,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.arxiv-id,general,11160,348,13,7554,12367,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.pub-date,general,13706,565,13,7317,15637,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.pub-date,general,11290,403,13,6949,12817,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.or-search,general,14605,560,13,8228,16116,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.or-search,general,12171,390,13,7847,13496,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.title-keyword,general,14606,610,13,7775,16119,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.title-keyword,general,12149,446,13,7393,13692,"11/4/2024, 3:03:18 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.keyword-search,general,15084,537,13,8996,16765,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.keyword-search,general,12702,407,13,8496,14773,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.pub-type,general,14589,577,13,8102,16249,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.pub-type,general,12197,419,13,7743,13619,"11/4/2024, 3:03:18 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.citations,general,15136,588,13,8464,16573,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.citations,general,12770,436,13,8055,14373,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.year-range,general,14769,608,13,7848,16282,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.year-range,general,12410,455,13,7478,14012,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.first-author,general,14583,616,13,7675,16440,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.first-author,general,12377,488,13,7084,14235,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.not-search,general,14713,546,13,8636,16420,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.not-search,general,12318,408,13,8180,14075,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.and-search,general,14353,570,13,7971,16463,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.and-search,general,12024,429,13,7450,14119,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.affiliation,general,15057,625,13,8023,17099,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.affiliation,general,12724,488,13,7580,14708,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.throttled.landing.pre-load.full-text,general,14965,654,13,7499,16641,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.full-text,general,12558,502,13,7126,14361,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:45 PM"
scix.throttled.landing.pre-load.abstract-keyword,general,15207,581,13,8512,16997,"11/4/2024, 3:03:15 PM","11/4/2024, 4:42:42 PM"
scix.throttled.landing.post-load.abstract-keyword,general,12893,434,13,8069,14654,"11/4/2024, 3:03:17 PM","11/4/2024, 4:42:44 PM"
scix.normal.landing.pre-load.first-author,general,5547,516,15,2027,9066,"11/4/2024, 3:03:32 PM","11/4/2024, 4:42:57 PM"
scix.normal.landing.post-load.first-author,general,4255,375,15,1684,6362,"11/4/2024, 3:03:34 PM","11/4/2024, 4:42:59 PM"
scix.normal.landing.pre-load.citations,general,2737,164,14,1923,4602,"11/4/2024, 3:03:38 PM","11/4/2024, 4:43:03 PM"
scix.normal.landing.post-load.citations,general,2414,148,14,1688,4058,"11/4/2024, 3:03:39 PM","11/4/2024, 4:43:03 PM"
scix.throttled.landing.pre-load.author-citations-title-abstract,general,11289,459,13,7011,14100,"11/4/2024, 3:03:32 PM","11/4/2024, 4:42:57 PM"
scix.throttled.landing.post-load.author-citations-title-abstract,general,9902,348,13,6597,11216,"11/4/2024, 3:03:33 PM","11/4/2024, 4:42:59 PM"
